ID;incident_dart;x;y;z
431;3340;-0.146843;-0.216506;1.115375
432;3348;-0.158787;-0.125000;1.206099
433;3362;0.000000;-0.000000;1.250000
434;3364;0.000000;0.125000;1.216506
435;3372;0.000000;0.216506;1.125000
436;3380;0.000000;0.250000;1.000000
437;3388;0.000000;0.216506;0.875000
438;3396;0.000000;0.125000;0.783494
439;3404;0.000000;-0.000000;0.750000
440;3412;0.000000;-0.125000;0.783494
441;3420;0.000000;-0.216506;0.875000
442;3428;0.000000;-0.250000;1.000000
443;3436;0.000000;-0.216506;1.125000
444;3444;0.000000;-0.125000;1.216506
445;3458;0.163158;-0.000000;1.239306
446;3460;0.158786;0.125000;1.206099
447;3468;0.146842;0.216506;1.115376
448;3476;0.130526;0.250000;0.991445
449;3484;0.114210;0.216506;0.867514
450;3492;0.102266;0.125000;0.776791
451;3500;0.097895;-0.000000;0.743584
452;3508;0.102266;-0.125000;0.776791
453;3516;0.114210;-0.216506;0.867514
454;3524;0.130526;-0.250000;0.991445
455;3532;0.146842;-0.216506;1.115376
456;3540;0.158786;-0.125000;1.206099
457;3554;0.323523;-0.000000;1.207407
458;3556;0.314854;0.125000;1.175055
459;3564;0.291171;0.216506;1.086667
460;3572;0.258819;0.250000;0.965926
461;3580;0.226466;0.216506;0.845185
462;3588;0.202783;0.125000;0.756797
463;3596;0.194114;-0.000000;0.724444
464;3604;0.202783;-0.125000;0.756797
465;3612;0.226466;-0.216506;0.845185
466;3620;0.258819;-0.250000;0.965926
467;3628;0.291171;-0.216506;1.086667
468;3636;0.314854;-0.125000;1.175055
469;3650;0.478355;-0.000000;1.154849
470;3652;0.465537;0.125000;1.123905
471;3660;0.430519;0.216506;1.039364
472;3668;0.382684;0.250000;0.923879
473;3676;0.334848;0.216506;0.808394
474;3684;0.299830;0.125000;0.723854
475;3692;0.287013;-0.000000;0.692910
476;3700;0.299830;-0.125000;0.723854
477;3708;0.334848;-0.216506;0.808394
478;3716;0.382684;-0.250000;0.923879
479;3724;0.430519;-0.216506;1.039364
480;3732;0.465537;-0.125000;1.123905
481;3746;0.625000;-0.000000;1.082532
482;3748;0.608253;0.125000;1.053525
483;3756;0.562500;0.216506;0.974279
484;3764;0.500000;0.250000;0.866025
485;3772;0.437500;0.216506;0.757772
486;3780;0.391747;0.125000;0.678525
487;3788;0.375000;-0.000000;0.649519
488;3796;0.391747;-0.125000;0.678525
489;3804;0.437500;-0.216506;0.757772
490;3812;0.500000;-0.250000;0.866025
491;3820;0.562500;-0.216506;0.974279
492;3828;0.608253;-0.125000;1.053525
493;3842;0.760952;-0.000000;0.991692
494;3844;0.740562;0.125000;0.965120
495;3852;0.684856;0.216506;0.892523
496;3860;0.608761;0.250000;0.793353
